iter	Passed	Remaining
942	4764	288
943	4769	282
944	4774	277
945	4779	272
946	4784	267
947	4789	262
948	4794	257
949	4799	252
950	4803	247
951	4808	242
952	4813	237
953	4818	232
954	4823	227
955	4829	222
956	4834	217
957	4838	212
958	4843	207
959	4848	202
960	4853	196
961	4858	191
962	4863	186
963	4868	181
964	4873	176
965	4877	171
966	4882	166
967	4887	161
968	4893	156
969	4897	151
970	4902	146
971	4907	141
972	4912	136
973	4917	131
974	4921	126
975	4927	121
976	4932	116
977	4936	111
978	4942	106
979	4947	100
980	4951	95
981	4956	90
982	4961	85
983	4966	80
984	4971	75
985	4976	70
986	4981	65
987	4985	60
988	4991	55
989	4995	50
990	5000	45
991	5005	40
992	5010	35
993	5015	30
994	5020	25
995	5024	20
996	5029	15
997	5034	10
998	5040	5
999	5046	0
